# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-06 to 8.69125 h/Mpc,
# number of wavenumbers equal to 576
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045004358465e-06       5.245502188722e+00 
       1.391464537791e-05       6.379499876715e+01 
       2.680435270169e-05       1.201015080867e+02 
       3.974868070173e-05       1.756577868907e+02 
       5.278253249730e-05       2.309462857150e+02 
       6.594147055741e-05       2.862721361018e+02 
       7.926203423068e-05       3.418755291288e+02 
       9.278206851751e-05       3.979676478792e+02 
       1.065410684188e-04       4.547464645796e+02 
       1.205805432315e-04       5.124052623662e+02 
       1.349444051894e-04       5.711380204087e+02 
       1.496793868422e-04       6.311432945570e+02 
       1.648354914783e-04       6.926273338446e+02 
       1.804664806755e-04       7.558068051089e+02 
       1.966304026270e-04       8.209113275682e+02 
       2.133901641311e-04       8.881859315731e+02 
       2.308141479171e-04       9.578935051356e+02 
       2.489768751163e-04       1.030317258160e+03 
       2.679597099518e-04       1.105763206977e+03 
       2.878515998183e-04       1.184562655983e+03 
       3.087498385146e-04       1.267074624385e+03 
       3.307608330839e-04       1.353688132612e+03 
       3.540008451081e-04       1.444824221662e+03 
       3.785966650370e-04       1.540937530426e+03 
       4.046861630147e-04       1.642517196841e+03 
       4.324186418206e-04       1.750086785453e+03 
       4.619548977042e-04       1.864202873392e+03 
       4.934668746915e-04       1.985451865165e+03 
       5.271367803247e-04       2.114444556635e+03 
       5.631555203521e-04       2.251807960345e+03 
       6.017203129260e-04       2.398173948657e+03 
       6.430313670949e-04       2.554164408384e+03 
       6.872875635556e-04       2.720372845832e+03 
       7.346811633085e-04       2.897342750643e+03 
       7.853916918653e-04       3.085543515773e+03 
       8.395792934275e-04       3.285345261448e+03 
       8.973779994556e-04       3.496994439785e+03 
       9.588894768348e-04       3.720592493148e+03 
       1.024177875236e-03       3.956079943003e+03 
       1.093266350806e-03       4.203228012515e+03 
       1.166135693390e-03       4.461639207765e+03 
       1.242725245303e-03       4.730757258557e+03 
       1.322936017084e-03       5.009885629784e+03 
       1.406635640521e-03       5.298188408806e+03 
       1.493664607275e-03       5.594775082901e+03 
       1.583843155860e-03       5.898706925079e+03 
       1.676978192906e-03       6.209005044944e+03 
       1.772869742211e-03       6.524690811330e+03 
       1.871316568977e-03       6.844807715529e+03 
       1.972120788307e-03       7.168438584510e+03 
       2.075091407930e-03       7.494718181772e+03 
       2.180046860131e-03       7.822841490568e+03 
       2.286816643592e-03       8.152068269797e+03 
       2.395242227418e-03       8.481724464939e+03 
       2.505177375292e-03       8.811201314963e+03 
       2.616488036861e-03       9.139952887127e+03 
       2.729051933562e-03       9.467492515172e+03 
       2.842757943009e-03       9.793388732494e+03 
       2.957505363353e-03       1.011726077016e+04 
       3.073203118674e-03       1.043877404984e+04 
       3.189768949431e-03       1.075763564647e+04 
       3.307128618339e-03       1.107359004348e+04 
       3.425215151497e-03       1.138641529976e+04 
       3.543968126736e-03       1.169591943547e+04 
       3.663333015471e-03       1.200193725416e+04 
       3.783260580357e-03       1.230432735345e+04 
       3.903706328331e-03       1.260296952282e+04 
       4.024630016926e-03       1.289776241591e+04 
       4.145995210649e-03       1.318862148629e+04 
       4.267768883690e-03       1.347547707543e+04 
       4.389921064983e-03       1.375827275335e+04 
       4.512424521660e-03       1.403696369482e+04 
       4.635254477046e-03       1.431151537815e+04 
       4.758388359611e-03       1.458190254853e+04 
       4.881805579536e-03       1.484810781858e+04 
       5.005487329843e-03       1.511012073136e+04 
       5.129416409351e-03       1.536793673071e+04 
       5.253577064974e-03       1.556533885466e+04 
       5.377954851167e-03       1.581253271747e+04 
       5.502536504538e-03       1.605551883699e+04 
       5.627309831914e-03       1.629431186972e+04 
       5.752263610292e-03       1.652892992019e+04 
       5.877387497336e-03       1.675939399353e+04 
       6.002671951213e-03       1.698572778010e+04 
       6.128108158709e-03       1.720795702689e+04 
       6.253687970694e-03       1.742610966225e+04 
       6.379403844121e-03       1.764021539088e+04 
       6.505248789819e-03       1.785030526724e+04 
       6.631216325461e-03       1.805641176078e+04 
       6.757300433128e-03       1.825856829497e+04 
       6.883495520976e-03       1.845680921148e+04 
       7.009796388576e-03       1.865116976315e+04 
       7.136198195524e-03       1.884168532683e+04 
       7.262696432979e-03       1.902839209204e+04 
