# Matter power spectrum P(k) at redshift z=0
# for k=1.04501e-06 to 8.69125 h/Mpc,
# number of wavenumbers equal to 576
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045006160821e-06       5.245476722841e+00 
       1.391464718067e-05       6.379459085325e+01 
       2.680435450967e-05       1.201007329445e+02 
       3.974868251978e-05       1.756566495078e+02 
       5.278253433036e-05       2.309447878914e+02 
       6.594147241052e-05       2.862702776360e+02 
       7.926203610904e-05       3.418733082490e+02 
       9.278207042652e-05       3.979650614357e+02 
       1.065410703642e-04       4.547435081324e+02 
       1.205805452192e-04       5.124019302170e+02 
       1.349444072257e-04       5.711343055972e+02 
       1.496793889338e-04       6.311391888313e+02 
       1.648354936325e-04       6.926228276124e+02 
       1.804664829002e-04       7.558018873700e+02 
       1.966304049306e-04       8.209059858311e+02 
       2.133901665228e-04       8.881801517548e+02 
       2.308141504069e-04       9.578872714468e+02 
       2.489768777151e-04       1.030310552973e+03 
       2.679597126715e-04       1.105756010679e+03 
       2.878516026719e-04       1.184554946810e+03 
       3.087498415163e-04       1.267066378247e+03 
       3.307608362494e-04       1.353679322894e+03 
       3.540008484543e-04       1.444814819017e+03 
       3.785966685824e-04       1.540927502559e+03 
       4.046861667795e-04       1.642506508284e+03 
       4.324186458264e-04       1.750075397341e+03 
       4.619549019744e-04       1.864190743248e+03 
       4.934668792509e-04       1.985438946701e+03 
       5.271367851995e-04       2.114430799595e+03 
       5.631555255695e-04       2.251793310395e+03 
       6.017203185139e-04       2.398158347346e+03 
       6.430313730813e-04       2.554147793204e+03 
       6.872875699682e-04       2.720355150398e+03 
       7.346811701733e-04       2.897323905007e+03 
       7.853916992063e-04       3.085523446903e+03 
       8.395793012655e-04       3.285323893869e+03 
       8.973780078073e-04       3.496971696383e+03 
       9.588894857117e-04       3.720568296117e+03 
       1.024177884644e-03       3.956054214900e+03 
       1.093266360746e-03       4.203200677367e+03 
       1.166135703857e-03       4.461610192179e+03 
       1.242725256284e-03       4.730726492749e+03 
