# Matter power spectrum P(k) at redshift z=0
# for k=1.04501e-06 to 8.69125 h/Mpc,
# number of wavenumbers equal to 576
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045005199982e-06       5.245484100092e+00 
       1.391464621962e-05       6.379473292563e+01 
       2.680435354583e-05       1.201010042489e+02 
       3.974868155057e-05       1.756570482717e+02 
       5.278253335315e-05       2.309453134715e+02 
       6.594147142262e-05       2.862709300953e+02 
       7.926203510768e-05       3.418740882037e+02 
       9.278206940882e-05       3.979659699871e+02 
       1.065410693271e-04       4.547445468354e+02 
       1.205805441595e-04       5.124031010691e+02 
       1.349444061401e-04       5.711356110391e+02 
       1.496793878188e-04       6.311406317576e+02 
       1.648354924841e-04       6.926244113886e+02 
       1.804664817142e-04       7.558036158556e+02 
       1.966304037025e-04       8.209078634095e+02 
       2.133901652478e-04       8.881821833679e+02 
       2.308141490796e-04       9.578894626354e+02 
       2.489768763297e-04       1.030312909923e+03 
       2.679597112216e-04       1.105758540272e+03 
       2.878516011506e-04       1.184557656685e+03 
       3.087498399161e-04       1.267069276857e+03 
       3.307608345619e-04       1.353682419577e+03 
       3.540008466704e-04       1.444818124071e+03 
       3.785966666923e-04       1.540931027316e+03 
       4.046861647724e-04       1.642510265190e+03 
       4.324186436909e-04       1.750079400033e+03 
       4.619548996980e-04       1.864195006631e+03 
       4.934668768202e-04       1.985443487020e+03 
       5.271367826007e-04       2.114435634489e+03 
       5.631555227881e-04       2.251798458935e+03 
       6.017203155350e-04       2.398163830055e+03 
       6.430313698899e-04       2.554153632033e+03 
       6.872875665496e-04       2.720361368665e+03 
       7.346811665136e-04       2.897330527289e+03 
       7.853916952927e-04       3.085530498869e+03 
       8.395792970870e-04       3.285331402053e+03 
       8.973780033549e-04       3.496979687901e+03 
       9.588894809793e-04       3.720576798333e+03 
       1.024177879628e-03       3.956063255050e+03 
       1.093266355447e-03       4.203210282171e+03 
       1.166135698277e-03       4.461620387444e+03 
       1.242725250430e-03       4.730737303012e+03 
       1.322936022443e-03       5.009864496700e+03 
       1.406635646104e-03       5.298166059387e+03 
       1.493664613070e-03       5.594751482108e+03 
       1.583843161855e-03       5.898682041832e+03 
       1.676978199088e-03       6.208978852296e+03 
       1.772869748566e-03       6.524663286469e+03 
       1.871316575493e-03       6.844778839687e+03 
       1.972120794970e-03       7.168408342795e+03 
       2.075091414729e-03       7.494686562946e+03 
       2.180046867054e-03       7.822808486793e+03 
       2.286816650628e-03       8.152033876360e+03 
       2.395242234557e-03       8.481688679979e+03 
       2.505177382526e-03       8.811164139195e+03 
       2.616488044181e-03       9.139914323575e+03 
       2.729051940959e-03       9.467452568921e+03 
       2.842757950478e-03       9.793347410455e+03 
       2.957505370887e-03       1.011721808085e+04 
       3.073203126267e-03       1.043873000319e+04 
       3.189768957078e-03       1.075759025366e+04 
       3.307128626036e-03       1.107354331675e+04 
       3.425215159240e-03       1.138636725231e+04 
       3.543968134520e-03       1.169587008130e+04 
       3.663333023294e-03       1.200188660799e+04 
       3.783260588215e-03       1.230427543057e+04 
       3.903706336222e-03       1.260291633905e+04 
       4.024630024847e-03       1.289770798750e+04 
       4.145995218598e-03       1.318856582984e+04 
       4.267768891664e-03       1.347542020784e+04 
       4.389921072981e-03       1.375821469174e+04 
       4.512424529680e-03       1.403690445652e+04 
       4.635254485086e-03       1.431145498062e+04 
       4.758388367671e-03       1.458184100937e+04 
       4.881805587614e-03       1.484804515544e+04 
       5.005487337938e-03       1.511005696190e+04 
       5.129416417461e-03       1.536787187263e+04 
       5.253577073099e-03       1.562149098528e+04 
       5.377954859305e-03       1.587091755123e+04 
       5.502536512689e-03       1.611616393844e+04 
       5.627309840077e-03       1.635724370233e+04 
       5.752263618467e-03       1.659417386456e+04 
       5.877387505522e-03       1.682697436484e+04 
       6.002671959409e-03       1.705566784610e+04 
       6.128108166914e-03       1.728027902450e+04 
       6.253687978909e-03       1.750083481570e+04 
       6.379403852344e-03       1.771736392903e+04 
       6.505248798051e-03       1.792989643989e+04 
       6.631216333701e-03       1.813846385591e+04 
       6.757300441374e-03       1.834309865448e+04 
       6.883495529230e-03       1.854383424723e+04 
       7.009796396837e-03       1.874070497348e+04 
       7.136198203791e-03       1.893374530948e+04 
       7.262696441252e-03       1.912299056078e+04 
       7.389286906122e-03       1.930847664104e+04 
       7.515965677567e-03       1.949023915087e+04 
       7.642729095670e-03       1.966831444797e+04 
       7.769573741977e-03       1.984273926221e+04 
       7.896496421765e-03       2.001354987259e+04 
       8.023494147857e-03       2.018078315740e+04 
       8.150564125821e-03       2.034447626771e+04 
       8.277703740446e-03       2.050466573023e+04 
       8.404910543348e-03       2.066138866813e+04 
       8.532182241611e-03       2.081468200356e+04 
       8.659516687367e-03       2.096458210824e+04 
       8.786911868223e-03       2.111112572104e+04 
       8.914365898467e-03       2.125434954370e+04 
       9.041877010973e-03       2.139428924346e+04 
       9.169443549745e-03       2.153098099883e+04 
       9.297063963050e-03       2.166446048395e+04 
       9.424736797079e-03       2.179476295547e+04 
       9.552460690102e-03       2.192192323597e+04 
       9.680234367060e-03       2.204597643482e+04 
       9.808056634576e-03       2.216695740160e+04 
       9.935926376329e-03       2.228490017655e+04 
       1.006384254878e-02       2.239983869056e+04 
       1.019180417720e-02       2.251180701763e+04 
       1.031981035202e-02       2.262083925160e+04 
       1.044786022539e-02       2.272696838199e+04 
       1.057595300807e-02       2.283022730766e+04 
       1.070408796645e-02       2.293064936347e+04 
       1.083226441985e-02       2.302826710413e+04 
       1.096048173796e-02       2.312311262472e+04 
       1.108873933856e-02       2.321521746429e+04 
       1.121703668525e-02       2.330461368406e+04 
       1.134537328546e-02       2.339133218024e+04 
       1.147374868857e-02       2.347540396985e+04 
       1.160216248411e-02       2.355685921761e+04 
       1.173061430018e-02       2.363572854773e+04 
       1.185910380187e-02       2.371204173345e+04 
       1.198763068990e-02       2.378582839022e+04 
       1.211619469925e-02       2.385711871192e+04 
       1.224479559799e-02       2.392594188606e+04 
       1.237343318610e-02       2.399232727673e+04 
       1.250210729443e-02       2.405630399837e+04 
       1.263081778373e-02       2.411790104102e+04 
       1.275956454373e-02       2.417714743886e+04 
       1.288834749227e-02       2.423407170479e+04 
       1.301716657456e-02       2.428870214043e+04 
       1.314602176245e-02       2.434106610592e+04 
       1.327491305373e-02       2.439118991561e+04 
       1.340384047153e-02       2.443909983501e+04 
       1.353280406378e-02       2.448482204686e+04 
       1.366180390264e-02       2.452838342680e+04 
       1.379084008407e-02       2.456981060981e+04 
       1.391991272734e-02       2.460912992041e+04 
